Company_name,Description,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Keolis Hyderabad Metro,Urban Transport | 1k-5k Employees | MNC | Hyderabad / Secunderabad +2 more,4.0,Job Security,"Salary & Benefits, Promotions / Appraisal",141,772,7,--,19
CriticaLog India Private Limited,Logistics | 501-1k Employees | Startup | 11 years old | Bangalore +26 more,4.6,"Work Life Balance, Work Satisfaction, Job Security",,141,425,6,4,8
Health Insurance TPA of India,Insurance | 51-200 Employees | 11 years old | Noida +14 more,4.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",141,741,12,--,15
ANI INTEGRATED SERVICES,Engineering & Construction | 1k-5k Employees | Public | 36 years old | Mumbai +32 more,3.6,"Promotions / Appraisal, Company Culture, Job Security",,141,822,9,--,10
Birla Open Minds International School,Education & Training | 201-500 Employees | 14 years old | Mumbai +24 more,3.6,"Promotions / Appraisal, Salary & Benefits, Job Security",,141,545,8,1,15
RSH Global,FMCG | 51-200 Employees | 36 years old | Kolkata +26 more,4.2,"Company Culture, Work Life Balance, Salary & Benefits",,141,609,5,3,18
NMIMS,Education & Training | 1k-5k Employees (Global) | 43 years old | Mumbai +20 more,3.9,Work Life Balance,Promotions / Appraisal,141,981,15,12,13
Jaipur National University,Education & Training | 201-500 Employees | 17 years old | Jaipur +3 more,3.0,"Promotions / Appraisal, Skill Development / Learning, Work Life Balance",,141,494,3,--,9
Petron Engineering Construction,Engineering & Construction | 501-1k Employees | Public | 48 years old | Mumbai +26 more,4.3,"Skill Development / Learning, Company Culture, Work Satisfaction",,141,468,2,--,14
DESIGNCO,Import & Export | 51-200 Employees | 19 years old | Moradabad +6 more,4.0,Skill Development / Learning,,141,703,9,6,14
Eptisa,Engineering & Construction | 51-200 Employees | 68 years old | Madrid +25 more,3.4,"Promotions / Appraisal, Salary & Benefits, Job Security",,141,565,6,--,21
Advaith Motors,Automobile | 501-1k Employees (Global) | 26 years old | Bangalore/Bengaluru +9 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,141,550,3,5,17
Target Engineering Construction Company,Engineering & Construction | 10k-50k Employees | 49 years old | Abu Dhabi +13 more,4.0,Job Security,Promotions / Appraisal,141,446,7,--,15
CLR Facility Services,Facility Management Services | 1k-5k Employees | 22 years old | Pune +28 more,4.2,"Skill Development / Learning, Work Satisfaction, Company Culture",,141,667,5,--,6
Indiafilings,Financial Services | 501-1k Employees (Global) | Startup | 11 years old | Chennai +10 more,3.0,"Promotions / Appraisal, Company Culture, Work Life Balance",,141,766,10,9,7
Viacom18 Media,Media & Entertainment | 1k-5k Employees | 17 years old | Mumbai +9 more,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",141,1.3k,10,48,22
Apache Footwear,Fashion & Textile | 51-200 Employees | 33 years old | Nellore +9 more,4.0,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",141,591,10,--,20
ARSS Infrastructure Projects,Engineering & Construction | 501-1k Employees | Public | 24 years old | Bhubaneswar +17 more,4.0,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,141,485,12,--,15
Sigma Freudenberg NOK,Auto Components | 1k-5k Employees | 24 years old | Milan +14 more,4.0,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,141,845,3,--,23
NGK Spark Plugs,Auto Components | 201-500 Employees | 18 years old | Nagoya +13 more,4.2,"Job Security, Work Life Balance, Company Culture",,141,766,17,--,38
A2z Infra Engineering,Engineering & Construction | 10k-50k Employees (Global) | Public | 22 years old | Gurgaon +24 more,3.6,"Promotions / Appraisal, Job Security, Company Culture",,141,46,--,--,--
Nippon Konpo,Logistics | 51-200 Employees | 13 years old | Gurugram +12 more,4.0,"Job Security, Work Life Balance",Promotions / Appraisal,141,517,4,3,11
Vitromed Healthcare,Medical Equipment | 51-200 Employees | 52 years old | Jaipur +4 more,3.9,Promotions / Appraisal,,141,578,5,1,10
Teletext Holidays,Travel & Tourism | 51-200 Employees | 32 years old | London +3 more,3.9,"Work Life Balance, Company Culture, Skill Development / Learning","Job Security, Promotions / Appraisal",141,1.2k,5,7,27
MedTourEasy,Internet | 51-200 Employees | 9 years old | New York +5 more,4.8,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,141,124,2,--,6
Zypp Electric,Internet | 501-1k Employees | Startup | 7 years old | Gurgaon +4 more,3.8,Skill Development / Learning,,141,375,5,12,21
Protean eGov Technologies,Mumbai +8 more,3.6,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",141,1.2k,10,--,3
Shyplite,Logistics | 51-200 Employees | Startup | 9 years old | Delhi +3 more,4.1,"Work Life Balance, Company Culture, Salary & Benefits",,141,315,6,9,107
Laminaar Aviation Infotech,IT Services & Consulting | 201-500 Employees | 31 years old | Singapore +5 more,2.8,"Promotions / Appraisal, Salary & Benefits, Company Culture",,141,1.1k,8,30,14
Hero Vired,Education & Training | 201-500 Employees | New Delhi +5 more,4.1,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",,141,306,6,5,4
Sri Ramachandra University,Healthcare | 501-1k Employees | 39 years old | Chennai +6 more,4.1,"Skill Development / Learning, Job Security, Work Satisfaction",Salary & Benefits,141,633,3,40,16
Beumer Group,Industrial Machinery | 201-500 Employees | 89 years old | Beckum +13 more,4.0,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,141,805,10,5,14
Intelizign Lifecycle Services,IT Services & Consulting | 501-1k Employees | 18 years old | Chennai +4 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,141,1.3k,19,19,--
Continental Hospitals,Healthcare | 501-1k Employees | 17 years old | Hyderabad/Secunderabad +2 more,4.4,"Skill Development / Learning, Job Security, Company Culture",,141,684,5,8,13
Sami-Sabinsa Group,Pharma | 501-1k Employees | Public | 27 years old | Bangalore/Bengaluru +7 more,3.3,"Promotions / Appraisal, Company Culture, Skill Development / Learning",,141,1k,7,9,20
Japfa Comfeed,Agriculture | 501-1k Employees | Public | 29 years old | Jakarta +20 more,4.2,"Salary & Benefits, Company Culture, Work Life Balance",,141,664,9,2,19
SAI Consulting Engineers,Engineering & Construction | 501-1k Employees | 41 years old | Ahmedabad +30 more,4.3,"Work Life Balance, Company Culture, Job Security",,140,549,7,2,16
Toyo INK,Chemicals | 11-50 Employees | 18 years old | tokyo +11 more,4.1,"Job Security, Company Culture, Work Life Balance",,140,804,6,4,20
Podar Jumbo Kids,Education & Training | 5k-10k Employees | 97 years old | Mumbai +32 more,4.0,"Skill Development / Learning, Company Culture, Job Security","Salary & Benefits, Promotions / Appraisal",140,456,4,--,16
Government Medical College,Education & Training | 1k-5k Employees | State | Kottayam +53 more,4.0,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",140,753,5,--,13
Thirdware Solutions,IT Services & Consulting | 1k-5k Employees | 29 years old | Mumbai +3 more,4.1,"Work Life Balance, Job Security, Salary & Benefits",,140,1.2k,2,7,23
Kriti Industries,Building Material | 501-1k Employees | 41 years old |  Indore +27 more,4.0,"Job Security, Work Life Balance",Promotions / Appraisal,140,616,7,--,20
Embio Limited mahad Raigad,Pharma | 51-200 Employees | 38 years old | Mumbai +7 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",140,836,2,2,14
Pie Infocomm,IT Services & Consulting | 1-10 Employees | 22 years old | Lucknow +5 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,140,159,21,4,56
HyFun Foods,Food Processing | 501-1k Employees | 62 years old | Ahmedabad +14 more,4.3,"Job Security, Work Life Balance, Work Satisfaction",,140,739,8,2,13
LOTS Wholesale Solutions,Food Processing | 501-1k Employees | 7 years old | Gurgaon +3 more,3.6,"Company Culture, Promotions / Appraisal, Work Life Balance",,140,782,6,--,10
Population Services International (PSI),Non-Profit | 51-200 Employees | 54 years old | Washington D.C +35 more,4.4,"Salary & Benefits, Work Satisfaction, Work Life Balance",,140,459,3,2,25
Affiliated Computer Services,IT Services & Consulting | 11-50 Employees | 36 years old | Dallas +13 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,140,583,1,--,14
DCW,Chemicals | 1k-5k Employees | Public | 99 years old | Mumbai +10 more,4.0,"Job Security, Work Life Balance","Promotions / Appraisal, Company Culture",140,639,6,--,20
Matrix ComSec,Industrial Machinery | 501-1k Employees | 33 years old | Vadodara +8 more,3.8,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,140,1.2k,9,--,25
Doordarshan,Broadcasting | 201-500 Employees (Global) | 65 years old | New Delhi +29 more,4.3,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,140,719,4,--,17
ITC Group,10k-50k Employees | Kolkata +37 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,140,1.1k,2,--,15
Kayjay Forging,Auto Components | 1k-5k Employees | 36 years old | Ludhiana +7 more,4.1,"Skill Development / Learning, Salary & Benefits",,140,652,4,--,19
Manipal Business Solutions,Gurgaon / Gurugram +47 more,3.8,Promotions / Appraisal,,140,670,5,--,1
Hiranandani group,Real Estate | 1k-5k Employees | 46 years old | Mumbai +17 more,4.3,Work Life Balance,,140,805,5,--,25
Stellar Information Technology,Software Product | 201-500 Employees | 31 years old | Gurgaon/Gurugram +10 more,3.8,"Promotions / Appraisal, Skill Development / Learning, Company Culture",,140,880,9,27,19
Bambino Agro Industries,Food Processing | 201-500 Employees | Public | 42 years old | Hyderabad/Secunderabad +20 more,4.2,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,140,779,4,3,17
PaywithRING,FinTech | 201-500 Employees | 2 years old | Mumbai +19 more,4.6,"Company Culture, Work Life Balance, Salary & Benefits",,140,120,2,2,5
J.M Baxi & Co,Ports & Shipping | 1k-5k Employees | 108 years old | Mumbai +20 more,4.1,"Job Security, Work Life Balance",Promotions / Appraisal,140,866,7,6,27
Safran Engineering Services India,Aviation | 51-200 Employees | 23 years old | Blagnac +3 more,3.4,"Promotions / Appraisal, Salary & Benefits, Company Culture",,140,1.1k,12,6,19
StoreKing,Internet | 501-1k Employees | Startup | 12 years old | Bangalore +17 more,3.5,"Job Security, Promotions / Appraisal, Work Satisfaction",,140,853,7,36,20
Ganges Internationale,Power | 1k-5k Employees | 33 years old | Delhi/NCR +8 more,3.0,"Job Security, Company Culture, Promotions / Appraisal",,140,959,6,--,20
Diksha Technologies,IT Services & Consulting | 501-1k Employees | 24 years old | Bangalore/Bengaluru +4 more,3.5,"Promotions / Appraisal, Company Culture, Job Security",,139,1k,2,--,39
Partha Dental,Healthcare | 501-1k Employees (Global) | 17 years old | Hyderabad/Secunderabad +15 more,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",,139,352,8,--,22
Swastik Infralogics Private Limited,Engineering & Construction | 1k-5k Employees | 21 years old | Navi Mumbai +15 more,4.3,"Company Culture, Job Security, Skill Development / Learning",,139,530,5,--,14
Senvion,Power | 51-200 Employees | Startup | 7 years old | Hamburg +18 more,4.3,"Job Security, Salary & Benefits, Work Life Balance",,139,1k,6,14,13
CNS Comnet,BPO | 201-500 Employees | 19 years old | Gurgaon/Gurugram +4 more,4.0,"Company Culture, Work Life Balance","Job Security, Promotions / Appraisal",139,475,--,--,17
Galore Networks,IT Services & Consulting | 51-200 Employees | 19 years old | Chennai +31 more,2.6,"Promotions / Appraisal, Salary & Benefits, Job Security",,139,370,2,--,14
Cheema Boilers,Industrial Machinery | 501-1k Employees | Public | 25 years old | Mohali +11 more,4.3,"Job Security, Work Life Balance, Company Culture",,139,712,6,--,14
Interface Microsystems,Auto Components | 51-200 Employees | 40 years old | Gurgaon/Gurugram +7 more,3.7,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,139,870,12,2,18
Zivame.com,Fashion & Textile | 201-500 Employees | 13 years old | Bangalore +22 more,3.6,"Promotions / Appraisal, Work Satisfaction, Company Culture",,139,880,5,20,11
Rossell Techsys,Defence & Aerospace | 201-500 Employees | 15 years old | Bangalore/Bengaluru +3 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,139,1k,3,--,18
InMobi,Marketing & Advertising | 1k-5k Employees | Indian Unicorn | 17 years old | San Francisco +5 more,3.8,Work Life Balance,"Promotions / Appraisal, Job Security",139,1.6k,18,13,21
Carwale,Internet | 501-1k Employees | 19 years old | Mumbai +19 more,3.6,Job Security,"Salary & Benefits, Promotions / Appraisal",139,1k,29,82,24
Coverfox,Insurance | 201-500 Employees | 11 years old | Mumbai +8 more,3.7,Company Culture,Job Security,139,900,1,16,16
Paladion Networks,Hardware & Networking | 501-1k Employees | 24 years old | Bangalore +5 more,4.0,"Job Security, Skill Development / Learning",Salary & Benefits,139,1.1k,5,--,15
Capital Finserve,NBFC | 201-500 Employees | 17 years old | Salem +4 more,4.6,"Work Satisfaction, Skill Development / Learning, Job Security",,139,52,7,--,57
Marolix Technology Solutions,IT Services & Consulting | 13 years old | Hyderabad +4 more,3.6,"Promotions / Appraisal, Job Security, Salary & Benefits",,139,882,8,3,8
Brainware University,Education & Training | 501-1k Employees | 8 years old | Kolkata +2 more,3.8,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",,139,361,13,2,4
Chemie Tech,Oil & Gas | 51-200 Employees | 27 years old | Sharjah +16 more,3.2,"Salary & Benefits, Promotions / Appraisal, Job Security",,139,695,3,--,20
U.S. Polo Assn,Retail | 51-200 Employees | 134 years old | Los Angeles +43 more,4.5,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,139,349,3,--,16
NIELIT,Education & Training | 5k-10k Employees | 30 years old | New Delhi +34 more,4.2,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,139,610,7,--,14
Conceptia Software Technologies,Defence & Aerospace | 51-200 Employees | 20 years old | Bengaluru/Bangalore +8 more,4.7,"Work Life Balance, Work Satisfaction, Company Culture",,139,462,5,14,7
Horiba India,201-500 Employees | 71 years old | Kyoto +14 more,3.6,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,139,925,5,--,20
Haldiram Manufacturing Co.,Food Processing | 1k-5k Employees | 42 years old | Manesar +17 more,4.2,"Skill Development / Learning, Work Satisfaction",,139,489,11,--,21
Safeducate,Education & Training | 11-50 Employees | 17 years old | New Delhi +28 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal,139,511,5,--,14
Indutch Composites Technology,Industrial Machinery | 51-200 Employees | 14 years old | Vadodara +8 more,3.7,"Company Culture, Salary & Benefits, Promotions / Appraisal",,139,926,4,--,18
Al Hassan Engineering Company SAOG,Engineering & Construction | 1k-5k Employees (Global) | 24 years old | Ruwi +14 more,4.1,"Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",139,258,4,--,21
Fortune Marketing,Hardware & Networking | 1k-5k Employees | 30 years old | Delhi/NCR +19 more,4.0,"Promotions / Appraisal, Company Culture, Salary & Benefits",,139,802,8,1,6
Linc,FMCG | 1k-5k Employees | Public | 48 years old | Kolkata +25 more,3.7,Promotions / Appraisal,,139,716,7,--,9
Gates,Industrial Automation | 1k-5k Employees | 29 years old | Denver +10 more,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,139,857,5,--,22
Virtuoso,Industrial Automation | 201-500 Employees | 8 years old | Pune +3 more,3.9,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",139,673,12,15,2
Anion Healthcare Services,Healthcare | 51-200 Employees | 25 years old | Hyderabad/Secunderabad +4 more,4.0,"Job Security, Work Satisfaction, Company Culture",,139,485,8,20,64
Decimal Technologies,Software Product | 201-500 Employees | 15 years old | Gurgaon +5 more,3.4,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,139,1.3k,15,40,16
Capricorn Logistics,Logistics | 1k-5k Employees | 23 years old | Mumbai +22 more,3.9,"Promotions / Appraisal, Salary & Benefits, Job Security",,139,660,3,29,10
NaviSite,IT Services & Consulting | 501-1k Employees | 27 years old | Andover +4 more,3.8,"Job Security, Promotions / Appraisal",,139,1.4k,13,13,11
Dr B Lal Clinical Laboratory,Healthcare | 201-500 Employees | 33 years old | Jaipur +11 more,4.5,"Skill Development / Learning, Company Culture, Work Satisfaction",,139,352,1,6,22
Lloyd Electric & Engineering,Industrial Machinery | 11-50 Employees | Public | 35 years old | Delhi/NCR +34 more,4.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,138,577,1,--,14
Acer India,IT Services & Consulting | 51-200 Employees | Public | 48 years old | Xizhi  +31 more,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",,138,732,3,--,17
BMA Wealth Creators,Financial Services | 5k-10k Employees (Global) | 19 years old | Kolkata +30 more,3.5,"Job Security, Promotions / Appraisal, Salary & Benefits",,138,491,--,--,10
Relyon Softech,Software Product | 501-1k Employees | Public | 23 years old | Bangalore +15 more,4.1,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal, Work Satisfaction",138,902,7,14,21
Glocal Healthcare Systems,Healthcare | 51-200 Employees | 14 years old | Kolkata +16 more,3.5,"Promotions / Appraisal, Company Culture, Job Security",,138,470,3,4,15
Hindustan Media Ventures,Printing & Publishing | 1k-5k Employees | Public | 106 years old | Delhi/NCR +28 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",,138,591,4,--,11
Sneha Farms,Agriculture | 501-1k Employees (Global) | 42 years old | Hyderabad +11 more,4.1,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,138,647,5,--,10
VISION,Management Consulting | 11-50 Employees | 31 years old | Warren +57 more,3.8,"Promotions / Appraisal, Job Security, Salary & Benefits",,138,765,3,2,16
UDS,Facility Management Services | 10k-50k Employees | 39 years old | Chennai +30 more,3.9,"Promotions / Appraisal, Job Security, Company Culture",,138,587,5,--,21
Brandix India Apparel City,Fashion & Textile | 51-200 Employees | 55 years old | Visakhapatnam/Vizag +3 more,3.8,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",138,600,4,--,23
Gojavas,Logistics | 1k-5k Employees | Startup | 11 years old | Gurgaon +44 more,4.2,"Work Satisfaction, Company Culture, Work Life Balance",,138,155,--,1,22
Federal Mogul Powertrain,Auto Components | 1k-5k Employees | 125 years old | Lake Forest +12 more,3.8,Company Culture,"Promotions / Appraisal, Salary & Benefits",138,638,6,--,21
Zones Corporate Solutions,IT Services & Consulting | 51-200 Employees | 16 years old | Auburn +5 more,3.2,"Promotions / Appraisal, Skill Development / Learning, Job Security",,138,795,10,2,15
Modicare,Beauty & Personal Care | 51-200 Employees | Public | 28 years old | Delhi/NCR +37 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,138,729,13,4,18
STMicroelectronics,Semiconductors | 1k-5k Employees | Forbes Global 2000 | 37 years old | Geneva +6 more,4.3,"Company Culture, Work Life Balance, Job Security",,138,1k,5,2,28
Neosym Industry,Auto Components | 501-1k Employees | 92 years old | Pune +8 more,3.8,"Promotions / Appraisal, Work Satisfaction, Company Culture",,138,670,7,--,20
Solaris Chemtech,Chemicals | 201-500 Employees | 54 years old | Gurgaon +12 more,4.5,"Job Security, Skill Development / Learning, Company Culture",,138,557,6,--,28
MSL Driveline Systems,Auto Components | 201-500 Employees | 45 years old | Mumbai +7 more,4.2,"Work Satisfaction, Skill Development / Learning, Company Culture",Promotions / Appraisal,138,543,2,--,17
Tata Strive Skill Development Centre,Education & Training | 501-1k Employees | 9 years old | Mumbai +36 more,3.7,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",138,451,12,--,27
Webdew,IT Services & Consulting | 51-200 Employees | 8 years old | Mohali +8 more,4.5,"Skill Development / Learning, Company Culture, Work Satisfaction",,138,159,104,--,44
Tamilnad Mercantile Bank,Banking | 1k-5k Employees | Fortune India 500 | 103 years old | Chennai +40 more,2.9,"Work Life Balance, Company Culture, Work Satisfaction",,138,516,6,3,12
Sika,Chemicals | 201-500 Employees | Public | 114 years old | Baar +25 more,4.0,,,138,693,10,14,17
IG Petrochemicals,Chemicals | 1k-5k Employees | Public | 36 years old | Mumbai +11 more,3.6,"Promotions / Appraisal, Work Satisfaction, Company Culture",,138,889,6,1,16
Ramky Group,Engineering & Construction | 1k-5k Employees | 30 years old | Issy-les-moulineaux +28 more,4.3,"Job Security, Skill Development / Learning, Work Life Balance",,138,594,7,--,13
JWIL,Waste Management | 201-500 Employees | New Delhi +26 more,4.3,"Job Security, Salary & Benefits, Work Life Balance",,138,670,5,--,18
Shirdi Sai Electricals,Power | 201-500 Employees | 30 years old | Hyderabad +19 more,4.2,"Job Security, Work Satisfaction, Work Life Balance","Promotions / Appraisal, Salary & Benefits",138,577,6,--,20
KLT Automotive & Tubular Products,Auto Components | 201-500 Employees | 30 years old | Mumbai +13 more,4.0,"Work Life Balance, Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",138,621,--,2,11
Oswal Castings,Metals & Mining | 51-200 Employees | 19 years old | Faridabad +5 more,3.9,Skill Development / Learning,,138,646,4,--,15
Brij Gopal Construction Company,Engineering & Construction | 1k-5k Employees | 25 years old | New Delhi +22 more,3.9,"Promotions / Appraisal, Salary & Benefits, Company Culture",,138,678,12,1,10
Fortune Integrated Assets Finance,Financial Services | 51-200 Employees | 12 years old | Mumbai +68 more,4.0,"Promotions / Appraisal, Salary & Benefits",,138,486,7,--,6
B.L Agro Oils,Food Processing | 1k-5k Employees | 31 years old | Bareilly +30 more,3.8,"Job Security, Promotions / Appraisal, Company Culture",,138,500,12,1,30
Nesma Trading,Engineering & Construction | 5k-10k Employees (Global) | 20 years old | Al Khobar +7 more,4.4,"Job Security, Work Life Balance, Company Culture",,138,253,8,--,28
ILS Hospitals,Healthcare | 501-1k Employees (Global) | 24 years old | Kolkata +4 more,3.9,Job Security,"Salary & Benefits, Work Satisfaction",138,516,5,--,13
American Oncology Institute,Healthcare | 1-10 Employees | 12 years old | Pittsburgh +16 more,4.2,"Skill Development / Learning, Salary & Benefits, Job Security",,138,614,7,1,13
Wibmo,FinTech | 51-200 Employees | 25 years old | Bangalore +3 more,3.4,"Promotions / Appraisal, Job Security, Company Culture",,138,1.3k,5,11,9
Annora Pharma,Pharma | 201-500 Employees | 8 years old | Sangareddy +3 more,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",,138,893,8,--,16
British Paints,Chemicals | 51-200 Employees | 105 years old | Delhi/NCR +58 more,3.5,"Promotions / Appraisal, Work Satisfaction, Company Culture",,138,527,10,--,12
Sheth Creators,Real Estate | 201-500 Employees | 13 years old | Mumbai +4 more,3.2,"Promotions / Appraisal, Salary & Benefits, Company Culture",,138,765,4,4,17
Sahajanand Medical Technologies,Medical Equipment | 501-1k Employees | 26 years old | Surat +25 more,3.7,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,138,855,4,11,22
AI Variant,5 years old | Bangalore +9 more,4.3,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Salary & Benefits, Promotions / Appraisal",138,740,6,--,10
TIL,Industrial Machinery | 1k-5k Employees | Public | 80 years old | Kolkata +17 more,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,138,849,5,5,17
Verifone,FinTech | 501-1k Employees | 43 years old | Coral Springs +6 more,3.6,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,138,1.7k,12,7,20
Anthology,EdTech | 1k-5k Employees | Bangalore / Bengaluru +7 more,3.8,"Promotions / Appraisal, Job Security",,138,1.3k,9,5,12
Q Way Technologies,BPO | 501-1k Employees | 14 years old | Chennai +1 more,3.5,"Job Security, Company Culture, Promotions / Appraisal",,138,793,7,20,17
TC Global,EdTech | 201-500 Employees | 29 years old | Delhi +17 more,3.9,Skill Development / Learning,,138,508,4,27,28
Alp Consulting,Recruitment | 201-500 Employees | Public | 28 years old | Bengaluru/Bangalore +14 more,3.5,"Promotions / Appraisal, Skill Development / Learning, Job Security",,137,1.1k,5,16,20
Asianet Satellite Communications,Internet | 1k-5k Employees | 31 years old | Trivandrum/Thiruvananthapuram +21 more,3.9,Work Life Balance,Promotions / Appraisal,137,504,3,3,9
Bharat Benz,Automobile | 1k-5k Employees | 13 years old | Chennai +61 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",,137,537,6,--,24
SeQuent Scientific,Pharma | 501-1k Employees | Public | 39 years old | Mumbai +12 more,3.8,"Job Security, Promotions / Appraisal, Company Culture",,137,678,2,--,13
Net Access India,IT Services & Consulting | 201-500 Employees | Public | 27 years old | Chennai +23 more,3.9,Job Security,,137,1.1k,12,5,19
Indian Terrain Fashions,Fashion & Textile | 201-500 Employees | Public | 24 years old | Chennai +35 more,4.1,Work Life Balance,Promotions / Appraisal,137,549,2,--,14
United Nations Development Programme,Non-Profit | 201-500 Employees | Public | 59 years old | New York +43 more,4.4,"Work Life Balance, Company Culture, Work Satisfaction",,137,509,13,--,17
Dr. Ram Manohar Lohia Hospital,Healthcare | 201-500 Employees | 92 years old | New Delhi +9 more,4.3,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,137,408,4,--,17
Fragomen Immigration Services,Travel & Tourism | 51-200 Employees | 73 years old | New York +7 more,4.0,"Company Culture, Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal",137,833,10,--,18
Nehru Yuva Kendra Sangathan,Non-Profit | 52 years old | New Delhi +72 more,4.6,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,137,194,8,--,18
Zodiac Clothing Company,Fashion & Textile | 1k-5k Employees | Public | 40 years old | Mumbai +23 more,3.8,"Promotions / Appraisal, Company Culture, Salary & Benefits",,137,517,4,6,13
Kumar Organic Products,Chemicals | 201-500 Employees | 33 years old | Bangalore +8 more,3.8,Job Security,"Company Culture, Salary & Benefits",137,798,8,4,13
Mehin,Software Product | 201-500 Employees | New Delhi +45 more,4.0,Promotions / Appraisal,,137,460,4,--,12
Dealmoney Securities,Financial Services | 201-500 Employees | 18 years old | Thane +17 more,3.8,Work Life Balance,,137,795,5,1,12
Healthium Medtech,Medical Equipment | 501-1k Employees | 32 years old | Bangalore/Bengaluru +31 more,3.4,"Job Security, Promotions / Appraisal, Company Culture",,137,956,5,--,16
Ameyo,Software Product | 201-500 Employees | 21 years old | Gurgaon +6 more,3.4,"Job Security, Work Satisfaction, Work Life Balance",,137,1.2k,14,9,23
VISTRA INTERNATIONAL EXPANSION,Other | 501-1k Employees | 32 years old | Boston +3 more,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",137,821,8,3,21
RateGain,IT Services & Consulting | 501-1k Employees | 20 years old | London +4 more,4.0,"Company Culture, Work Life Balance",Promotions / Appraisal,137,1.2k,11,85,18
Pharmed,Pharma | 1k-5k Employees | Public | 78 years old | Bangalore/Bengaluru +35 more,4.4,"Skill Development / Learning, Company Culture, Work Satisfaction",,137,635,4,--,20
Radhakrishna Foodland,Logistics | 1k-5k Employees | 58 years old | Thane +25 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,137,600,5,--,15
Sharp Business Systems India,Consumer Electronics & Appliances | 51-200 Employees | Forbes Global 2000 | 112 years old | Noida +28 more,3.8,"Promotions / Appraisal, Salary & Benefits, Job Security",,137,535,4,--,14
CDM Smith,Engineering & Construction | 501-1k Employees | 77 years old | Boston +26 more,4.0,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,137,626,5,3,14
University of Delhi,Education & Training | 10k-50k Employees | Public | 102 years old | Delhi/NCR +4 more,4.3,"Work Satisfaction, Work Life Balance, Company Culture",Promotions / Appraisal,137,957,9,--,14
